"","X","id_estudante","genero","idade","zona","escola","monitor","grupo","dfs1","dfs2","dfs3","dfs4","dfs5","dfs6","dfs7","dfs8","dfs9","media_dfs","fss1","fss2","fss3","fss4","fss5","fss6","fss7","fss8","fss9","media_fss"
"E01",1,"E01","M",11,"Urbana",1,"PR","Experimental",NA,3,3,3,2,3,2,2,1,2.375,5,4,NA,4,4,"4",4,4,4,4.125
"E02",2,"E02","F",11,"Rural",1,"PR","Experimental",3,2,5,3,5,3,5,3,2,3.444444444,5,2,4,3,5,"3",5,3,3,3.666666667
"E03",3,"E03","M",11,"Urbana",1,"PR","Experimental",2,4,5,3,1,4,1,2,4,2.888888889,5,3,2,5,4,"5",4,3,1,3.555555556
"E04",4,"E04","M",14,"Urbana",1,"PR","Experimental",3,3,2,3,3,NA,2,2,4,2.75,5,5,4,5,4,"5",5,4,5,4.666666667
"E05",5,"E05","M",11,"Rural",1,"PR","Experimental",5,5,5,3,1,5,1,3,1,3.222222222,3,2,NA,5,4,"4",1,5,4,3.5
"E07",7,"E07","F",11,"Rural",1,"PR","Experimental",4,3,3,4,3,3,3,3,5,3.444444444,4,3,3,3,4,"3",4,4,4,3.555555556
"E08",8,"E08","F",12,"Urbana",1,"PR","Experimental",3,4,3,3,4,3,3,2,4,3.222222222,3,1,3,3,5,"4",5,3,4,3.444444444
"E10",10,"E10","M",11,"Rural",1,"PR","Experimental",2,3,2,4,3,5,4,3,2,3.111111111,4,NA,4,3,3,"2",2,1,1,2.5
"E11",11,"E11","M",11,"Rural",1,"PR","Experimental",5,5,5,5,5,3,1,1,2,3.555555556,5,3,4,3,5,"5",2,5,5,4.111111111
"E12",12,"E12","F",11,"Urbana",1,"PR","Experimental",4,2,5,4,5,5,2,2,5,3.777777778,4,4,5,5,5,"5",4,5,5,4.666666667
"E14",14,"E14","F",13,"Urbana",2,"MM","Experimental",4,3,3,5,4,3,5,3,4,3.777777778,2,2,2,3,4,"3",5,5,3,3.222222222
"E15",15,"E15","M",12,"Urbana",2,"MM","Experimental",3,3,2,3,2,2,5,3,3,2.888888889,2,3,5,3,4,"3",4,5,4,3.666666667
"E16",16,"E16","F",10,"Urbana",2,"MM","Experimental",5,4,4,5,2,2,3,2,1,3.111111111,2,3,3,5,2,"3",3,5,3,3.222222222
"E17",17,"E17","M",11,"Urbana",2,"MM","Experimental",4,4,5,4,5,5,1,5,4,4.111111111,4,2,4,5,4,"4",5,4,3,3.888888889
"E18",18,"E18","F",10,"Rural",2,"MM","Experimental",4,3,4,3,3,3,2,5,4,3.444444444,4,5,4,4,4,"4",4,4,4,4.111111111
"E19",19,"E19","M",10,"Rural",2,"MM","Experimental",1,1,3,4,4,4,4,3,3,3,4,4,3,3,4,"3",4,4,2,3.444444444
"E20",20,"E20","F",11,"Urbana",2,"MM","Experimental",3,3,5,2,5,4,1,2,2,3,4,5,3,4,5,"5",4,3,4,4.111111111
"E21",21,"E21","M",10,"Urbana",2,"MM","Experimental",3,2,3,5,2,3,1,4,2,2.777777778,3,2,3,4,3,"4",5,4,3,3.444444444
"E23",23,"E23","F",11,"Urbana",2,"MM","Experimental",3,1,5,5,5,5,5,3,5,4.111111111,3,4,3,4,3,"5",1,4,5,3.555555556
"E24",24,"E24","M",11,"Rural",2,"MM","Experimental",3,3,2,NA,5,5,1,3,NA,3.142857143,2,3,4,3,4,"2",3,4,5,3.333333333
"E25",25,"E25","M",13,"Urbana",2,"MM","Experimental",2,4,3,2,3,5,3,2,1,2.777777778,5,5,3,1,1,"",2,3,1,2.625
"E27",27,"E27","M",13,"",2,"MM","Experimental",3,2,4,5,5,4,1,3,5,3.555555556,2,1,2,4,3,"4",3,5,2,2.888888889
"E28",28,"E28","M",13,"",2,"MM","Experimental",3,4,2,NA,2,NA,2,NA,2,2.5,4,5,3,3,5,"4",2,3,5,3.777777778
"E29",29,"E29","M",13,"",2,"MM","Experimental",2,3,2,4,1,5,2,5,2,2.888888889,1,2,3,4,5,"D",2,3,4,3
"E30",30,"E30","F",10,"Urbana",2,"AC","Experimental",5,4,5,4,3,4,1,3,5,3.777777778,3,5,3,2,3,"3",2,3,3,3
"E31",31,"E31","F",11,"Urbana",2,"AC","Experimental",3,1,3,3,5,5,3,3,5,3.444444444,3,4,4,3,4,"4",4,3,3,3.555555556
"E32",32,"E32","M",11,"Urbana",2,"AC","Experimental",4,4,5,5,5,2,3,4,3,3.888888889,5,4,3,4,2,"3",1,4,3,3.222222222
"E33",33,"E33","M",10,"Urbana",2,"AC","Experimental",3,4,5,5,4,2,3,5,1,3.555555556,4,3,3,4,4,"4",3,3,3,3.444444444
"E34",34,"E34","F",11,"Urbana",2,"AC","Experimental",4,4,5,5,4,5,5,5,5,4.666666667,4,4,5,4,4,"3",5,5,4,4.222222222
"E35",35,"E35","F",11,"Rural",2,"AC","Experimental",3,3,4,4,4,3,4,3,3,3.444444444,3,3,3,2,5,"4",4,3,3,3.333333333
"E36",36,"E36","F",10,"Rural",2,"AC","Experimental",4,3,4,5,4,3,3,3,5,3.777777778,3,4,4,4,3,"4",4,4,5,3.888888889
"E37",37,"E37","F",11,"Rural",2,"AC","Experimental",3,4,5,4,3,2,3,5,4,3.666666667,5,3,3,4,3,"4",4,5,3,3.777777778
"E38",38,"E38","M",13,"Rural",2,"AC","Experimental",5,3,5,2,1,5,3,2,3,3.222222222,5,2,1,5,3,"4",2,5,1,3.111111111
"E39",39,"E39","M",11,"Rural",2,"AC","Experimental",5,5,5,5,5,5,1,5,5,4.555555556,2,3,NA,3,4,"4",2,3,5,3.25
"E40",40,"E40","M",11,"Rural",2,"AC","Experimental",3,4,4,3,3,5,2,3,5,3.555555556,4,2,4,2,4,"4",4,4,2,3.333333333
"E41",41,"E41","M",12,"",2,"AC","Experimental",4,3,3,5,5,4,1,2,3,3.333333333,2,5,2,3,2,"3",2,3,2,2.666666667
"E45",45,"E45","F",10,"Rural",3,"ML","Experimental",5,4,5,4,5,5,2,5,5,4.444444444,5,3,5,3,5,"5",3,5,4,4.222222222
"E46",46,"E46","M",11,"Rural",3,"ML","Experimental",3,3,3,5,5,3,3,5,5,3.888888889,3,2,2,2,2,"3",2,2,4,2.444444444
"E47",47,"E47","F",10,"Rural",3,"ML","Experimental",3,2,4,4,4,5,3,4,5,3.777777778,4,4,3,3,4,"4",3,3,4,3.555555556
"E48",48,"E48","M",11,"Rural",3,"ML","Experimental",3,2,3,2,5,1,1,1,5,2.555555556,1,1,4,4,1,"4",1,2,1,2.111111111
"E49",49,"E49","M",11,"Rural",3,"ML","Experimental",5,5,5,5,5,5,3,3,5,4.555555556,5,3,4,4,2,"4",4,3,2,3.444444444
"E50",50,"E50","F",12,"Rural",3,"ML","Experimental",2,3,2,3,2,4,2,4,5,3,4,3,5,4,4,"3",4,5,3,3.888888889
"E51",51,"E51","M",11,"Rural",3,"ML","Experimental",4,3,5,4,5,5,3,1,5,3.888888889,3,3,3,2,4,"4",4,2,2,3
"E53",53,"E53","M",10,"Rural",3,"ML","Experimental",3,3,2,3,3,3,1,3,3,2.666666667,1,2,4,1,4,"4",2,1,4,2.555555556
"E54",54,"E54","M",12,"Rural",3,"ML","Experimental",3,4,3,4,1,3,1,2,4,2.777777778,3,5,3,5,3,"5",3,3,5,3.888888889
"E55",55,"E55","M",NA,"",3,"ML","Experimental",3,1,5,5,2,4,5,3,1,3.222222222,2,4,3,2,4,"3",5,1,4,3.111111111
"E56",56,"E56","M",NA,"",3,"ML","Experimental",3,2,4,5,1,3,4,2,4,3.111111111,2,5,2,4,2,"3",NA,2,5,3.125
"E57",57,"E57","M",NA,"",3,"ML","Experimental",4,2,3,3,2,2,3,1,3,2.555555556,2,3,3,4,2,"2",3,5,2,2.888888889
"E58",58,"E58","F",NA,"",3,"ML","Experimental",3,5,5,4,4,4,3,2,4,3.777777778,3,4,3,3,4,"4",3,4,4,3.555555556
"E59",59,"E59","M",NA,"",3,"ML","Experimental",4,5,5,5,4,5,1,5,5,4.333333333,3,1,4,4,4,"3",4,3,4,3.333333333
"E60",60,"E60","M",NA,"",3,"ML","Experimental",5,3,5,3,4,5,1,4,5,3.888888889,4,2,3,3,4,"4",4,3,3,3.333333333
"E61",61,"E61","F",12,"Rural",4,"CE","Experimental",5,3,5,3,5,2,1,5,5,3.777777778,3,3,4,3,3,"3",5,3,5,3.555555556
"E62",62,"E62","F",11,"Rural",4,"CE","Experimental",3,4,4,4,4,3,4,4,3,3.666666667,4,5,NA,NA,5,"",NA,NA,5,4.75
"E63",63,"E63","M",11,"Urbana",4,"CE","Experimental",5,3,5,3,4,4,2,5,3,3.777777778,4,5,4,3,NA,"4",3,4,3,3.75
"E64",64,"E64","M",13,"Urbana",4,"CE","Experimental",3,5,5,3,5,NA,3,3,5,4,5,2,NA,5,3,"1",4,3,5,3.5
"E66",66,"E66","M",11,"Urbana",4,"CE","Experimental",5,3,4,3,5,3,1,5,4,3.666666667,4,5,4,3,4,"3",5,4,5,4.111111111
"E67",67,"E67","M",11,"Rural",4,"CE","Experimental",3,3,5,1,4,3,1,5,2,3,2,4,3,2,4,"2",4,3,1,2.777777778
"E68",68,"E68","M",12,"Rural",4,"CE","Experimental",3,3,2,3,3,3,2,5,3,3,4,4,4,4,3,"3",4,4,4,3.777777778
"E69",69,"E69","M",11,"Rural",4,"CE","Experimental",3,4,3,4,3,3,3,3,4,3.333333333,4,4,3,3,4,"2",2,4,4,3.333333333
"E70",70,"E70","M",11,"Rural",4,"CE","Experimental",3,5,4,2,2,4,3,3,3,3.222222222,4,2,4,2,4,"2",4,2,4,3.111111111
"E71",71,"E71","F",11,"Rural",4,"CE","Experimental",3,3,4,4,4,3,1,2,5,3.222222222,4,4,3,3,4,"3",4,4,3,3.555555556
"E72",72,"E72","M",10,"Rural",4,"CE","Experimental",3,2,5,1,2,3,3,2,5,2.888888889,5,4,3,5,5,"4",3,5,4,4.222222222
"E74",74,"E74","F",11,"Rural",4,"CE","Experimental",4,5,4,4,5,5,4,5,NA,4.5,5,4,5,5,4,"5",5,4,5,4.666666667
"E75",75,"E75","M",11,"Urbana",4,"CE","Experimental",5,3,4,5,3,3,1,3,4,3.444444444,4,5,4,3,2,"1",2,3,4,3.111111111
