"","id_estudante","genero","idade","zona","escola","monitor","grupo","dfs1","dfs2","dfs3","dfs4","dfs5","dfs6","dfs7","dfs8","dfs9","media_dfs","fss1","fss2","fss3","fss4","fss5","fss6","fss7","fss8","fss9","media_fss"
"1","E01","M",11,"Urbana",1,"PR","Experimental",NA,3,3,3,2,3,2,2,1,2.375,5,4,NA,4,4,"4",4,4,4,4.125
"2","E02","F",11,"Rural",1,"PR","Experimental",3,2,5,3,5,3,5,3,2,3.444444444,5,2,4,3,5,"3",5,3,3,3.666666667
"3","E03","M",11,"Urbana",1,"PR","Experimental",2,4,5,3,1,4,1,2,4,2.888888889,5,3,2,5,4,"5",4,3,1,3.555555556
"4","E04","M",14,"Urbana",1,"PR","Experimental",3,3,2,3,3,NA,2,2,4,2.75,5,5,4,5,4,"5",5,4,5,4.666666667
"5","E05","M",11,"Rural",1,"PR","Experimental",5,5,5,3,1,5,1,3,1,3.222222222,3,2,NA,5,4,"4",1,5,4,3.5
"7","E07","F",11,"Rural",1,"PR","Experimental",4,3,3,4,3,3,3,3,5,3.444444444,4,3,3,3,4,"3",4,4,4,3.555555556
"8","E08","F",12,"Urbana",1,"PR","Experimental",3,4,3,3,4,3,3,2,4,3.222222222,3,1,3,3,5,"4",5,3,4,3.444444444
"10","E10","M",11,"Rural",1,"PR","Experimental",2,3,2,4,3,5,4,3,2,3.111111111,4,NA,4,3,3,"2",2,1,1,2.5
"11","E11","M",11,"Rural",1,"PR","Experimental",5,5,5,5,5,3,1,1,2,3.555555556,5,3,4,3,5,"5",2,5,5,4.111111111
"12","E12","F",11,"Urbana",1,"PR","Experimental",4,2,5,4,5,5,2,2,5,3.777777778,4,4,5,5,5,"5",4,5,5,4.666666667
"14","E14","F",13,"Urbana",2,"MM","Experimental",4,3,3,5,4,3,5,3,4,3.777777778,2,2,2,3,4,"3",5,5,3,3.222222222
"15","E15","M",12,"Urbana",2,"MM","Experimental",3,3,2,3,2,2,5,3,3,2.888888889,2,3,5,3,4,"3",4,5,4,3.666666667
"16","E16","F",10,"Urbana",2,"MM","Experimental",5,4,4,5,2,2,3,2,1,3.111111111,2,3,3,5,2,"3",3,5,3,3.222222222
"17","E17","M",11,"Urbana",2,"MM","Experimental",4,4,5,4,5,5,1,5,4,4.111111111,4,2,4,5,4,"4",5,4,3,3.888888889
"18","E18","F",10,"Rural",2,"MM","Experimental",4,3,4,3,3,3,2,5,4,3.444444444,4,5,4,4,4,"4",4,4,4,4.111111111
"19","E19","M",10,"Rural",2,"MM","Experimental",1,1,3,4,4,4,4,3,3,3,4,4,3,3,4,"3",4,4,2,3.444444444
"20","E20","F",11,"Urbana",2,"MM","Experimental",3,3,5,2,5,4,1,2,2,3,4,5,3,4,5,"5",4,3,4,4.111111111
"21","E21","M",10,"Urbana",2,"MM","Experimental",3,2,3,5,2,3,1,4,2,2.777777778,3,2,3,4,3,"4",5,4,3,3.444444444
"23","E23","F",11,"Urbana",2,"MM","Experimental",3,1,5,5,5,5,5,3,5,4.111111111,3,4,3,4,3,"5",1,4,5,3.555555556
"24","E24","M",11,"Rural",2,"MM","Experimental",3,3,2,NA,5,5,1,3,NA,3.142857143,2,3,4,3,4,"2",3,4,5,3.333333333
"25","E25","M",13,"Urbana",2,"MM","Experimental",2,4,3,2,3,5,3,2,1,2.777777778,5,5,3,1,1,"",2,3,1,2.625
"27","E27","M",13,"",2,"MM","Experimental",3,2,4,5,5,4,1,3,5,3.555555556,2,1,2,4,3,"4",3,5,2,2.888888889
"28","E28","M",13,"",2,"MM","Experimental",3,4,2,NA,2,NA,2,NA,2,2.5,4,5,3,3,5,"4",2,3,5,3.777777778
"29","E29","M",13,"",2,"MM","Experimental",2,3,2,4,1,5,2,5,2,2.888888889,1,2,3,4,5,"D",2,3,4,3
"30","E30","F",10,"Urbana",2,"AC","Experimental",5,4,5,4,3,4,1,3,5,3.777777778,3,5,3,2,3,"3",2,3,3,3
"31","E31","F",11,"Urbana",2,"AC","Experimental",3,1,3,3,5,5,3,3,5,3.444444444,3,4,4,3,4,"4",4,3,3,3.555555556
"32","E32","M",11,"Urbana",2,"AC","Experimental",4,4,5,5,5,2,3,4,3,3.888888889,5,4,3,4,2,"3",1,4,3,3.222222222
"33","E33","M",10,"Urbana",2,"AC","Experimental",3,4,5,5,4,2,3,5,1,3.555555556,4,3,3,4,4,"4",3,3,3,3.444444444
"34","E34","F",11,"Urbana",2,"AC","Experimental",4,4,5,5,4,5,5,5,5,4.666666667,4,4,5,4,4,"3",5,5,4,4.222222222
"35","E35","F",11,"Rural",2,"AC","Experimental",3,3,4,4,4,3,4,3,3,3.444444444,3,3,3,2,5,"4",4,3,3,3.333333333
"36","E36","F",10,"Rural",2,"AC","Experimental",4,3,4,5,4,3,3,3,5,3.777777778,3,4,4,4,3,"4",4,4,5,3.888888889
"37","E37","F",11,"Rural",2,"AC","Experimental",3,4,5,4,3,2,3,5,4,3.666666667,5,3,3,4,3,"4",4,5,3,3.777777778
"38","E38","M",13,"Rural",2,"AC","Experimental",5,3,5,2,1,5,3,2,3,3.222222222,5,2,1,5,3,"4",2,5,1,3.111111111
"39","E39","M",11,"Rural",2,"AC","Experimental",5,5,5,5,5,5,1,5,5,4.555555556,2,3,NA,3,4,"4",2,3,5,3.25
"40","E40","M",11,"Rural",2,"AC","Experimental",3,4,4,3,3,5,2,3,5,3.555555556,4,2,4,2,4,"4",4,4,2,3.333333333
"41","E41","M",12,"",2,"AC","Experimental",4,3,3,5,5,4,1,2,3,3.333333333,2,5,2,3,2,"3",2,3,2,2.666666667
"45","E45","F",10,"Rural",3,"ML","Experimental",5,4,5,4,5,5,2,5,5,4.444444444,5,3,5,3,5,"5",3,5,4,4.222222222
"46","E46","M",11,"Rural",3,"ML","Experimental",3,3,3,5,5,3,3,5,5,3.888888889,3,2,2,2,2,"3",2,2,4,2.444444444
"47","E47","F",10,"Rural",3,"ML","Experimental",3,2,4,4,4,5,3,4,5,3.777777778,4,4,3,3,4,"4",3,3,4,3.555555556
"48","E48","M",11,"Rural",3,"ML","Experimental",3,2,3,2,5,1,1,1,5,2.555555556,1,1,4,4,1,"4",1,2,1,2.111111111
"49","E49","M",11,"Rural",3,"ML","Experimental",5,5,5,5,5,5,3,3,5,4.555555556,5,3,4,4,2,"4",4,3,2,3.444444444
"50","E50","F",12,"Rural",3,"ML","Experimental",2,3,2,3,2,4,2,4,5,3,4,3,5,4,4,"3",4,5,3,3.888888889
"51","E51","M",11,"Rural",3,"ML","Experimental",4,3,5,4,5,5,3,1,5,3.888888889,3,3,3,2,4,"4",4,2,2,3
"53","E53","M",10,"Rural",3,"ML","Experimental",3,3,2,3,3,3,1,3,3,2.666666667,1,2,4,1,4,"4",2,1,4,2.555555556
"54","E54","M",12,"Rural",3,"ML","Experimental",3,4,3,4,1,3,1,2,4,2.777777778,3,5,3,5,3,"5",3,3,5,3.888888889
"55","E55","M",NA,"",3,"ML","Experimental",3,1,5,5,2,4,5,3,1,3.222222222,2,4,3,2,4,"3",5,1,4,3.111111111
"56","E56","M",NA,"",3,"ML","Experimental",3,2,4,5,1,3,4,2,4,3.111111111,2,5,2,4,2,"3",NA,2,5,3.125
